NASA Rotor 37 Axial-Flow Compressor Rotor - 70% span solution, M=1.47 
                     
            Surface Coordinates and Aerodynamic Data (Lower Surface)
      x                  y               p              M              Cp
 9.081131220E-01 4.432280082E-03 1.759556562E+05 5.280189514E-01 9.950352907E-01
 9.184426069E-01 3.713103477E-03 1.754856094E+05 5.316930413E-01 9.905361533E-01
 9.277538061E-01 3.031258238E-03 1.749514375E+05 5.358899236E-01 9.854232073E-01
 9.361277223E-01 2.390492475E-03 1.743665312E+05 5.405069590E-01 9.798246026E-01
 9.436432123E-01 1.792927505E-03 1.737325156E+05 5.455080867E-01 9.737560153E-01
 9.503757954E-01 1.239824342E-03 1.730506875E+05 5.508838296E-01 9.672297239E-01
 9.563969970E-01 7.308425847E-04 1.723178125E+05 5.566298962E-01 9.602148533E-01
 9.617742300E-01 2.660510363E-04 1.715394219E+05 5.627006888E-01 9.527643323E-01
 9.665699005E-01 -1.566724095E-04 1.707152500E+05 5.691045523E-01 9.448755383E-01
 9.708417654E-01 -5.395424669E-04 1.698339531E+05 5.759314299E-01 9.364400506E-01
 9.746432900E-01 -8.851245511E-04 1.688778281E+05 5.832588077E-01 9.272882342E-01
 9.780230522E-01 -1.195288613E-03 1.678550000E+05 5.910700560E-01 9.174979925E-01
 9.810252786E-01 -1.473792829E-03 1.667405312E+05 5.995850563E-01 9.068306088E-01
 9.836902022E-01 -1.723055844E-03 1.654784219E+05 6.090777516E-01 8.947500587E-01
 9.860543609E-01 -1.944987453E-03 1.640773906E+05 6.195839643E-01 8.813397884E-01
 9.881502390E-01 -2.143193269E-03 1.624667969E+05 6.316389441E-01 8.659235835E-01
 9.900074005E-01 -2.319684718E-03 1.605203906E+05 6.459804177E-01 8.472931385E-01
 9.916523695E-01 -2.476016525E-03 1.581579531E+05 6.632927060E-01 8.246805072E-01
 9.931087494E-01 -2.615184756E-03 1.550708125E+05 6.858139038E-01 7.951312661E-01
 9.943975806E-01 -2.738639014E-03 1.505330781E+05 7.187094092E-01 7.516973019E-01
 9.955379963E-01 -2.847894095E-03 1.430657812E+05 7.757276297E-01 6.802223325E-01
 9.965465665E-01 -2.945579821E-03 1.270922500E+05 8.905593753E-01 5.273280740E-01
 9.974403977E-01 -2.961358055E-03 9.856173438E+04 1.050759196E+00 2.542417049E-01
 9.982035756E-01 -2.758154413E-03 9.484816406E+04 9.817552567E-01 2.186964154E-01
 9.988128543E-01 -2.410642104E-03 1.296330703E+05 6.618874669E-01 5.516480803E-01
 9.992690086E-01 -1.989279175E-03 1.602352344E+05 4.193622470E-01 8.445636630E-01
 9.995892048E-01 -1.547041582E-03 1.746360469E+05 2.646294534E-01 9.824043512E-01
 9.997997284E-01 -1.112592057E-03 1.819075469E+05 1.483783573E-01 1.052005172E+00
 9.999247193E-01 -7.045554812E-04 1.851096875E+05 6.648880243E-02 1.082655191E+00
 9.999856949E-01 -3.326870501E-04 1.860736719E+05 1.636967622E-02 1.091882229E+00
 1.000000000E+00  0.000000000E00  1.867483438E+05 1.292349212E-02 1.098339915E+00

            Surface Coordinates and Aerodynamic Data (Upper Surface)
      x                  y               p              M              Cp
 0.000000000E00  0.000000000E00  2.112578438E+05 5.812177807E-02 1.332938194E+00
 2.483401477E-05 3.344144206E-04 2.139157344E+05 1.312284023E-01 1.358378887E+00
 9.671082080E-05 7.070495049E-04 2.072237031E+05 2.648044229E-01 1.294324517E+00
 2.334294695E-04 1.114510931E-03 1.935309531E+05 4.259620011E-01 1.163261294E+00
 4.550583835E-04 1.547278604E-03 1.714375469E+05 6.066073775E-01 9.517892003E-01
 7.845775690E-04 1.987519441E-03 1.426107188E+05 8.052786589E-01 6.758666039E-01
 1.246628235E-03 2.408590866E-03 1.094009688E+05 1.030162454E+00 3.579919040E-01
 1.858211355E-03 2.761709737E-03 7.583358594E+04 1.303495884E+00 3.669404238E-02
 2.622202970E-03 2.983556129E-03 4.894383203E+04 1.566402555E+00 -2.206873745E-01
 3.518134123E-03 3.090671264E-03 3.924659375E+04 1.691129923E+00 -3.135066926E-01
 4.531717859E-03 3.208875190E-03 4.203212500E+04 1.680630088E+00 -2.868443727E-01
 5.677656271E-03 3.342320910E-03 4.563403125E+04 1.641722918E+00 -2.523678839E-01
 6.972840056E-03 3.493459662E-03 4.895649609E+04 1.602436543E+00 -2.205661535E-01
 8.436227217E-03 3.664059099E-03 5.212947266E+04 1.564302564E+00 -1.901952922E-01
 1.008905657E-02 3.856895957E-03 5.503378906E+04 1.530434847E+00 -1.623959690E-01
 1.195515320E-02 4.074489698E-03 5.771530469E+04 1.499562502E+00 -1.367292255E-01
 1.406097505E-02 4.320278298E-03 5.981423047E+04 1.476147652E+00 -1.166388765E-01
